Time,Date,St,rep,Hydromedusa,Siphonophora,Comb_jellies,Polychaete_larvae,Nemertean,Nematoda,Obelia_sp.,Pilidium_larvae,Calanoida,Cyclopoida,Harpacticoida,Poicilostomatoida,Nauplius_copepods,Evadne_sp,Cyprid,Cirripedia,Isopoda,Protozoea_lucifer,Pseudevadne_tergestina,Juvenile_Lucifer,Lucifer_hanseni,Shrimp_larvae,Zoea_crab,Magalopa,Alima_larvae,Anomurans_(zoae_crab),Actinotrocha_larvae,Sagitta_spp,Veliger_larvae,Bivalvia_larvae,Gastropod_larvae,Pteropod_larvae,Echinopluteus_larvae,Ophiopluteus_larvae,Bipinnaria_larvae,Oikopleura_spp,Fritillaria_spp,Amphioxus,Fish_larvae,Fish_eggs
4,Apr19,MR,1,9805,0,754,22626,0,0,0,0,9051,17347,3771,0,4525,0,0,0,0,48269,0,0,15838,2263,4525,0,0,0,0,88242,0,2263,3017,0,8296,0,0,109360,299421,0,0,0
4,Apr19,MR,2,6222,0,0,12444,0,0,0,0,7919,14707,2828,0,5091,0,0,0,0,42424,0,0,16404,566,1131,0,0,0,0,27717,0,2263,2263,0,1697,0,0,56566,280000,0,0,0
4,Apr19,TK,1,4949,0,2121,46667,0,0,0,0,53737,49495,4949,0,10606,0,0,0,0,78485,0,0,72121,0,0,0,0,0,0,127273,0,4242,4949,0,707,0,0,48788,14141,0,0,0
4,Apr19,TK,2,1697,0,0,26303,0,0,0,0,52606,39030,5939,0,7636,0,0,0,0,31394,0,0,35636,848,0,0,0,0,0,194303,0,6788,1697,0,848,0,0,107758,9333,0,0,0
4,Apr19,KK,1,6010,0,1803,17429,0,0,0,0,31253,40869,3606,0,5409,0,0,0,0,87747,0,0,10217,0,1202,0,0,0,0,86545,0,1803,1202,0,1202,0,0,349788,3606,0,0,2404
4,Apr19,KK,2,2722,0,2178,16333,0,0,0,0,35933,31578,5444,0,3267,0,0,0,0,93644,0,0,5989,0,544,0,0,0,0,70778,0,1089,1089,0,1089,0,0,118144,5444,0,0,1089
5,Jun19,MN,1,6364,0,0,19091,0,0,0,0,9192,8485,707,0,1414,0,0,0,0,12020,0,0,0,0,707,0,0,0,0,24747,0,2121,707,0,6364,0,0,1149697,0,0,0,0
5,Jun19,MN,2,15084,0,0,14330,0,0,0,0,15838,12067,2263,0,6034,0,0,0,0,15084,0,0,754,754,754,0,0,0,754,29414,0,2263,0,0,11313,0,0,1194667,0,0,0,0
5,Jun19,MR,1,707,0,707,10606,0,0,0,0,9192,4242,707,0,2828,0,0,0,0,5657,0,0,0,0,0,0,0,0,707,2121,0,1414,0,0,0,0,0,541616,7071,0,0,0
5,Jun19,MR,2,707,2121,0,12727,0,0,0,0,7071,4242,707,0,2121,0,0,0,0,4949,0,0,0,0,0,0,0,0,707,4949,0,2121,0,0,2121,0,0,552222,2828,0,0,0
5,Jun19,TK,1,5515,0,8824,69491,0,0,0,0,13236,7721,1103,0,3309,0,0,0,0,3309,0,0,0,0,2206,0,0,0,2206,11030,0,3309,1103,0,0,0,0,905588,15442,0,0,1103
5,Jun19,TK,2,0,0,9927,81624,0,0,0,0,13236,9927,3309,0,3309,0,0,0,0,1103,0,0,0,0,0,0,0,0,0,13236,0,2206,0,0,0,0,0,1213333,17648,0,0,1103
5,Jun19,KK,1,1603,0,4007,24842,0,0,0,0,24040,4007,1603,0,4007,0,0,0,0,801,0,0,0,0,801,0,0,0,1603,20034,0,1603,0,0,0,0,0,1087428,10418,0,0,0
5,Jun19,KK,2,1565,0,3912,21127,0,0,0,0,13302,7042,1565,0,3912,0,0,0,0,1565,0,0,0,0,782,0,0,0,782,17997,0,1565,0,0,0,0,0,915515,6260,0,0,782
6,Aug19,MN,1,632,1263,1263,9475,0,0,0,0,13265,9475,3158,0,5685,0,0,2527,0,9475,1263,0,2527,0,632,0,0,0,632,11370,0,1263,0,0,1263,0,0,137700,0,0,632,0
6,Aug19,MN,2,0,2659,886,15065,0,0,0,0,28358,12407,3545,0,8862,0,0,0,0,14179,5317,0,5317,886,886,0,0,0,0,49627,0,886,0,0,886,0,0,317258,0,0,886,886
6,Aug19,MR,1,1508,2263,0,6034,0,0,0,0,12822,5279,1508,0,2263,0,0,1508,0,3017,0,0,0,0,0,0,0,0,0,7542,0,0,0,0,0,0,0,110114,754,0,0,754
6,Aug19,MR,2,1584,2376,0,5543,0,0,0,0,14255,7919,792,0,3960,0,0,1584,0,5543,2376,0,0,0,792,0,0,0,0,11879,0,0,0,0,0,0,0,88695,0,0,0,0
6,Aug19,TK,1,1603,801,801,65710,0,0,0,0,62505,68114,3205,0,4007,0,0,0,0,1603,8815,0,9616,0,0,0,0,0,0,158667,0,2404,0,0,0,0,0,47279,40869,0,801,801
6,Aug19,TK,2,735,1471,0,36768,0,0,0,0,62505,67653,2941,0,5883,0,0,0,0,1471,2206,0,15442,0,735,0,0,0,0,144129,0,1471,0,0,0,0,0,11766,46327,0,0,0
6,Aug19,KK,1,0,820,0,56594,0,0,0,0,42651,72998,1640,0,6562,0,0,0,0,1640,3281,0,25426,820,0,0,0,0,0,180444,0,820,0,0,0,0,0,22145,33628,0,0,820
6,Aug19,KK,2,1584,1584,0,64937,0,0,0,0,57018,41180,1584,0,3960,0,0,0,0,1584,4752,0,8711,792,0,0,0,0,0,136210,0,792,0,0,0,0,0,41180,54642,0,0,1584
